time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0831257086e-05,5.00000000e-03
0.06000000,3.7594596935e-05,5.00000000e-03
0.06500000,4.0541941057e-05,5.00000000e-03
0.07000000,1.1899004406e-04,5.00000000e-03
0.07500000,8.1792052899e-05,5.00000000e-03
0.08000000,1.1820082516e-05,5.00000000e-03
0.08500000,1.2942408926e-04,5.00000000e-03
0.09000000,1.2377886561e-04,5.00000000e-03
0.09500000,-1.8821852090e-05,5.00000000e-03
0.10000000,1.5623984203e-04,5.00000000e-03
0.10500000,1.5674400567e-04,5.00000000e-03
0.11000000,-7.5312511017e-05,5.00000000e-03
0.11500000,2.2313928921e-04,5.00000000e-03
0.12000000,1.5647159660e-04,5.00000000e-03
0.12500000,-1.7437644712e-04,5.00000000e-03
0.13000000,3.2653568416e-04,5.00000000e-03
0.13500000,-1.0095261425e-05,5.00000000e-03
0.14000000,-3.2891299338e-04,5.00000000e-03
0.14500000,5.5656750616e-04,5.00000000e-03
0.15000000,-2.0233884546e-04,5.00000000e-03
0.15500000,-1.1482600622e-04,5.00000000e-03
0.16000000,6.6780147144e-04,5.00000000e-03
0.16500000,-9.4929811679e-04,5.00000000e-03
0.17000000,5.1579371811e-04,5.00000000e-03
0.17500000,8.8157296525e-04,5.00000000e-03
0.18000000,-1.3768063995e-03,5.00000000e-03
0.18500000,1.0881225089e-03,5.00000000e-03
0.19000000,8.6696074369e-05,5.00000000e-03
0.19500000,-6.7448974615e-04,5.00000000e-03
0.20000000,1.1329398443e-03,5.00000000e-03
0.20500000,-1.5475950535e-03,5.00000000e-03
0.21000000,1.6340945199e-03,5.00000000e-03
