time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0831858580e-05,5.00000000e-03
0.06000000,3.7608959680e-05,5.00000000e-03
0.06500000,4.0514414543e-05,5.00000000e-03
0.07000000,1.1899546721e-04,5.00000000e-03
0.07500000,8.1861474749e-05,5.00000000e-03
0.08000000,1.1654532539e-05,5.00000000e-03
0.08500000,1.2938174998e-04,5.00000000e-03
0.09000000,1.2407749673e-04,5.00000000e-03
0.09500000,-1.9307405718e-05,5.00000000e-03
0.10000000,1.5613005383e-04,5.00000000e-03
0.10500000,1.5767415497e-04,5.00000000e-03
0.11000000,-7.6805817187e-05,5.00000000e-03
0.11500000,2.2317534112e-04,5.00000000e-03
0.12000000,1.5885478999e-04,5.00000000e-03
0.12500000,-1.7908500953e-04,5.00000000e-03
0.13000000,3.2807334376e-04,5.00000000e-03
0.13500000,-4.8829038887e-06,5.00000000e-03
0.14000000,-3.2255870974e-04,5.00000000e-03
0.14500000,5.5757385693e-04,5.00000000e-03
0.15000000,-1.8729935495e-04,5.00000000e-03
0.15500000,-1.4033348837e-04,5.00000000e-03
0.16000000,7.0776004077e-04,5.00000000e-03
0.16500000,-9.6586529862e-04,5.00000000e-03
0.17000000,4.2317230999e-04,5.00000000e-03
0.17500000,9.7380918454e-04,5.00000000e-03
0.18000000,-1.4711850566e-03,5.00000000e-03
0.18500000,1.0717735349e-03,5.00000000e-03
0.19000000,2.0843028510e-04,5.00000000e-03
0.19500000,-8.3641463539e-04,5.00000000e-03
0.20000000,1.3450651378e-03,5.00000000e-03
0.20500000,-1.7421804870e-03,5.00000000e-03
0.21000000,1.5983801402e-03,5.00000000e-03
