time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,0.0000000000e+00,5.00000000e-03
0.01000000,-1.2054705378e-12,5.00000000e-03
0.01500000,-1.6315392914e-09,5.00000000e-03
0.02000000,-1.4478087185e-07,5.00000000e-03
0.02500000,-3.3352266090e-06,5.00000000e-03
0.03000000,-3.1137303658e-05,5.00000000e-03
0.03500000,-1.4399678188e-04,5.00000000e-03
0.04000000,-3.6295017351e-04,5.00000000e-03
0.04500000,-5.2167944735e-04,5.00000000e-03
0.05000000,-4.6569137151e-04,5.00000000e-03
0.05500000,-3.8770580788e-04,5.00000000e-03
0.06000000,-4.4096041758e-04,5.00000000e-03
0.06500000,-4.4131696941e-04,5.00000000e-03
0.07000000,-3.9584261160e-04,5.00000000e-03
0.07500000,-4.2338156259e-04,5.00000000e-03
0.08000000,-4.1310209912e-04,5.00000000e-03
0.08500000,-3.8983961847e-04,5.00000000e-03
0.09000000,-4.0720439819e-04,5.00000000e-03
0.09500000,-3.8906400930e-04,5.00000000e-03
0.10000000,-3.8164195028e-04,5.00000000e-03
0.10500000,-3.7389688988e-04,5.00000000e-03
0.11000000,-3.1440859784e-04,5.00000000e-03
0.11500000,-2.2285499979e-04,5.00000000e-03
0.12000000,-6.3707371734e-05,5.00000000e-03
0.12500000,1.0222661510e-04,5.00000000e-03
0.13000000,1.6302735496e-04,5.00000000e-03
0.13500000,1.1468421004e-04,5.00000000e-03
0.14000000,4.0145880732e-05,5.00000000e-03
0.14500000,5.5933036233e-05,5.00000000e-03
0.15000000,1.1004440446e-04,5.00000000e-03
0.15500000,9.1187079307e-05,5.00000000e-03
0.16000000,6.1900866431e-05,5.00000000e-03
0.16500000,8.2821494976e-05,5.00000000e-03
0.17000000,1.0011951117e-04,5.00000000e-03
0.17500000,8.2943715707e-05,5.00000000e-03
0.18000000,7.8360489734e-05,5.00000000e-03
0.18500000,7.4912552614e-05,5.00000000e-03
0.19000000,1.7147191903e-05,5.00000000e-03
0.19500000,-6.7725524967e-05,5.00000000e-03
0.20000000,-1.8657577961e-04,5.00000000e-03
0.20500000,-3.4032139960e-04,5.00000000e-03
0.21000000,-4.1946283551e-04,5.00000000e-03
0.21500000,-3.9506555902e-04,5.00000000e-03
0.22000000,-3.3332512344e-04,5.00000000e-03
0.22500000,-2.8641367444e-04,5.00000000e-03
0.23000000,-2.9774839402e-04,5.00000000e-03
0.23500000,-3.3658050863e-04,5.00000000e-03
0.24000000,-3.3499117006e-04,5.00000000e-03
0.24500000,-3.0659424319e-04,5.00000000e-03
0.25000000,-2.8892474298e-04,5.00000000e-03
0.25500000,-2.6879193177e-04,5.00000000e-03
0.26000000,-2.2289699615e-04,5.00000000e-03
0.26500000,-1.6951601367e-04,5.00000000e-03
0.27000000,-1.4727579129e-04,5.00000000e-03
0.27500000,-1.2272022889e-04,5.00000000e-03
0.28000000,-1.8851841916e-05,5.00000000e-03
0.28500000,1.3615617911e-04,5.00000000e-03
0.29000000,2.3879950962e-04,5.00000000e-03
0.29500000,2.4076262430e-04,5.00000000e-03
0.30000000,1.7563164950e-04,5.00000000e-03
0.30500000,1.2802103988e-04,5.00000000e-03
0.31000000,1.5081126396e-04,5.00000000e-03
0.31500000,2.1675689046e-04,5.00000000e-03
0.32000000,2.5674041751e-04,5.00000000e-03
0.32500000,2.2264108196e-04,5.00000000e-03
0.33000000,1.6481077953e-04,5.00000000e-03
0.33500000,1.7275038251e-04,5.00000000e-03
0.34000000,2.0930796835e-04,5.00000000e-03
0.34500000,1.5540036847e-04,5.00000000e-03
0.35000000,1.0738878509e-05,5.00000000e-03
0.35500000,-1.0701108622e-04,5.00000000e-03
0.36000000,-1.5214690909e-04,5.00000000e-03
0.36500000,-1.9140049906e-04,5.00000000e-03
0.37000000,-2.5992709507e-04,5.00000000e-03
0.37500000,-2.7527085667e-04,5.00000000e-03
0.38000000,-1.6342736944e-04,5.00000000e-03
0.38500000,-5.9180405173e-05,5.00000000e-03
0.39000000,-1.3552564194e-04,5.00000000e-03
0.39500000,-2.7310095323e-04,5.00000000e-03
0.40000000,-2.8144501781e-04,5.00000000e-03
0.40500000,-2.4162333223e-04,5.00000000e-03
0.41000000,-2.8128684071e-04,5.00000000e-03
0.41500000,-3.3551977846e-04,5.00000000e-03
0.42000000,-3.2352364680e-04,5.00000000e-03
0.42500000,-2.5511405155e-04,5.00000000e-03
0.43000000,-1.1807547583e-04,5.00000000e-03
0.43500000,1.0054218710e-04,5.00000000e-03
0.44000000,3.0187133651e-04,5.00000000e-03
0.44500000,3.5987653467e-04,5.00000000e-03
0.45000000,2.9974495637e-04,5.00000000e-03
0.45500000,2.6771005437e-04,5.00000000e-03
0.46000000,3.2684544224e-04,5.00000000e-03
0.46500000,3.8433297832e-04,5.00000000e-03
0.47000000,3.6762828186e-04,5.00000000e-03
0.47500000,3.6045081919e-04,5.00000000e-03
0.48000000,4.2260670454e-04,5.00000000e-03
0.48500000,4.7000442712e-04,5.00000000e-03
0.49000000,4.7720763540e-04,5.00000000e-03
0.49500000,5.0378971127e-04,5.00000000e-03
0.50000000,5.5244930447e-04,5.00000000e-03
0.50500000,5.6036022438e-04,5.00000000e-03
