time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0832288218e-05,5.00000000e-03
0.06000000,3.7619226891e-05,5.00000000e-03
0.06500000,4.0494735251e-05,5.00000000e-03
0.07000000,1.1899926270e-04,5.00000000e-03
0.07500000,8.1911243762e-05,5.00000000e-03
0.08000000,1.1536046982e-05,5.00000000e-03
0.08500000,1.2935081651e-04,5.00000000e-03
0.09000000,1.2429240118e-04,5.00000000e-03
0.09500000,-1.9655205279e-05,5.00000000e-03
0.10000000,1.5604737362e-04,5.00000000e-03
0.10500000,1.5834811121e-04,5.00000000e-03
0.11000000,-7.7880019495e-05,5.00000000e-03
0.11500000,2.2318284835e-04,5.00000000e-03
0.12000000,1.6060304574e-04,5.00000000e-03
0.12500000,-1.8248761234e-04,5.00000000e-03
0.13000000,3.2919300999e-04,5.00000000e-03
0.13500000,-1.3082596955e-06,5.00000000e-03
0.14000000,-3.3314545476e-04,5.00000000e-03
0.14500000,5.6589479598e-04,5.00000000e-03
0.15000000,-1.8429979576e-04,5.00000000e-03
0.15500000,-1.5755349821e-04,5.00000000e-03
0.16000000,7.4125455045e-04,5.00000000e-03
0.16500000,-9.8746257956e-04,5.00000000e-03
0.17000000,4.0157482506e-04,5.00000000e-03
0.17500000,1.0457509419e-03,5.00000000e-03
0.18000000,-1.5645993828e-03,5.00000000e-03
0.18500000,1.1049303553e-03,5.00000000e-03
0.19000000,2.6981402078e-04,5.00000000e-03
0.19500000,-9.6419945352e-04,5.00000000e-03
0.20000000,1.5129627904e-03,5.00000000e-03
0.20500000,-1.8875434053e-03,5.00000000e-03
0.21000000,1.6037023199e-03,5.00000000e-03
